team_id,team_name
sr:competitor:2885,Deportivo Alaves
sr:competitor:2849,Levante UD
sr:competitor:2825,Athletic Bilbao
sr:competitor:2833,Sevilla FC
sr:competitor:2821,RC Celta de Vigo
sr:competitor:2859,Getafe CF
sr:competitor:2817,FC Barcelona
sr:competitor:2819,Villarreal CF
sr:competitor:2846,Elche CF
sr:competitor:2816,Real Betis Seville
sr:competitor:2814,Espanyol Barcelona
sr:competitor:2836,Atletico Madrid
sr:competitor:24264,Girona FC
sr:competitor:2818,Rayo Vallecano
sr:competitor:2824,Real Sociedad San Sebastian
sr:competitor:2826,RCD Mallorca
sr:competitor:2829,Real Madrid
sr:competitor:2820,CA Osasuna
sr:competitor:2828,Valencia CF
sr:competitor:2851,Real Oviedo
sr:competitor:2858,UD Almeria
sr:competitor:33779,Granada CF
sr:competitor:6577,UD Las Palmas
sr:competitor:2822,Real Valladolid
sr:competitor:2857,Cadiz CF
sr:competitor:2845,CD Leganes
